OI_C,CHNG IN OI_C,VOLUME_C,IV_C,LTP_C,CHNG_C,BID QTY_C,BID PRICE_C,ASK PRICE_C,ASK QTY_C,STRIKE PRICE,BID QTY_P,BID PRICE_P,ASK PRICE_P,ASK QTY_P,CHNG_P,LTP_P,IV_P,VOLUME_P,CHNG IN OI_P,OI_P,TYPE_C,TYPE_P,BASQ_C,BASQ_P,RETURN_C,RETURN_P,RBAS_C,RBAS_P
843.00,-65.00,177.00,0.00,646.95,125.60,50.00,642.75,649.90,50.00,16850.00,150.00,2.70,2.75,1800.00,-6.65,2.75,36.28,216974.00,27749.00,42868.00,1,0,0.00,1650.00,0.240913014,-0.707446809,18484.895,0.545
6136.00,-826.00,2196.00,0.00,599.90,124.00,50.00,596.50,600.00,200.00,16900.00,100.00,3.10,3.20,2550.00,-8.05,3.20,34.72,757242.00,18949.00,88999.00,1,0,150.00,2450.00,0.260558941,-0.715555556,8375.5,1.26
922.00,-136.00,461.00,0.00,548.65,118.30,150.00,544.45,550.65,200.00,16950.00,1100.00,3.30,3.65,9900.00,-10.25,3.40,32.59,226420.00,-4952.00,12173.00,1,0,50.00,8800.00,0.274892529,-0.750915751,13579.24,4.865
21387.00,-4267.00,28544.00,0.00,499.00,118.20,200.00,499.00,500.80,50.00,17000.00,150.00,4.20,4.40,100.00,-11.85,4.10,31.11,1089933.00,3742.00,130145.00,1,0,-150.00,-50.00,0.31039916,-0.742946708,3599.28,3.44
789.00,-522.00,2347.00,0.00,451.50,118.70,3600.00,408.65,452.40,150.00,17050.00,2600.00,4.50,5.20,50.00,-14.90,4.50,29.02,323931.00,-6746.00,15037.00,1,0,-3450.00,-2550.00,0.356670673,-0.768041237,75341.875,13.58
8355.00,-6174.00,32406.00,13.50,402.95,115.20,50.00,400.00,403.00,450.00,17100.00,650.00,5.50,5.90,500.00,-17.00,6.20,28.16,997989.00,-3480.00,66752.00,1,0,400.00,-150.00,0.400347524,-0.732758621,4818,9.12
3093.00,-1391.00,10565.00,0.00,352.80,109.15,300.00,348.20,355.00,150.00,17150.00,2400.00,6.50,7.70,100.00,-23.05,6.50,25.61,395681.00,8294.00,26688.00,1,0,-150.00,-2300.00,0.447978658,-0.780033841,9563.52,34.08
48755.00,-4816.00,148391.00,0.00,302.40,100.25,50.00,302.90,305.00,750.00,17200.00,2400.00,9.00,9.45,5050.00,-28.00,9.00,24.59,1323431.00,-1769.00,115572.00,1,0,700.00,2650.00,0.495918872,-0.756756757,2553.18,16.605
7759.00,-13821.00,72966.00,18.62,258.00,94.85,200.00,256.00,258.00,550.00,17250.00,900.00,10.65,12.90,50.00,-39.20,10.65,22.50,635272.00,1702.00,27920.00,1,0,350.00,-850.00,0.58136684,-0.786359077,2056,105.975
38440.00,-56090.00,488883.00,17.12,210.05,81.40,100.00,210.30,213.00,2750.00,17300.00,900.00,16.35,17.50,2600.00,-46.80,17.45,22.54,1655009.00,1180.00,85672.00,1,0,2650.00,1700.00,0.632724446,-0.728404669,2285.82,77.855
5692.00,-25741.00,238844.00,16.89,166.00,67.65,50.00,165.30,168.30,100.00,17350.00,100.00,21.55,23.00,900.00,-60.60,23.00,20.98,788301.00,16243.00,31608.00,1,0,50.00,800.00,0.687849517,-0.724880383,2001.6,129.195
39249.00,-49234.00,1511627.00,17.26,127.35,54.25,150.00,127.40,128.00,3600.00,17400.00,4400.00,32.00,32.30,50.00,-73.45,32.00,19.79,2336720.00,66984.00,90140.00,1,0,3450.00,-4350.00,0.742134063,-0.696538644,306.48,38.58
21197.00,-853.00,1071767.00,16.68,91.00,38.40,100.00,90.00,91.00,450.00,17450.00,500.00,44.50,46.45,350.00,-93.70,45.00,18.71,1268168.00,34577.00,37491.00,1,0,350.00,-150.00,0.730038023,-0.67555876,362,354.705
112515.00,-21697.00,3526557.00,16.00,60.00,22.60,100.00,59.20,61.45,400.00,17500.00,3150.00,63.00,65.90,1400.00,-108.00,63.00,17.66,2541133.00,76320.00,102764.00,1,0,300.00,-1750.00,0.604278075,-0.631578947,542.925,747.62
39777.00,18699.00,1149491.00,15.99,38.00,12.80,1150.00,37.00,37.50,100.00,17550.00,50.00,90.60,93.75,200.00,-116.55,91.75,17.94,404742.00,9731.00,10700.00,0,1,-1050.00,150.00,0.507936508,-0.559529525,74.5,1161.405
80860.00,20290.00,2133819.00,15.79,21.85,4.80,50.00,21.05,21.95,200.00,17600.00,100.00,124.60,127.95,350.00,-121.70,125.05,17.87,603204.00,6387.00,13767.00,0,1,150.00,250.00,0.281524927,-0.493211753,77.4,1692.085
30317.00,9165.00,927687.00,15.48,11.15,-0.15,700.00,11.10,11.20,200.00,17650.00,250.00,165.00,169.30,150.00,-117.50,169.50,20.16,57627.00,1171.00,1418.00,0,1,-500.00,-100.00,-0.013274336,-0.409407666,4.46,2874.98
